#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung,link
1585,fulleiþ*,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=80
1586,"fulleiþs* 2, fulleiþ*, fulliþs*",got,F.,"Fülle, Vollmond?","fullness, plenitude, full moon?",https://koeblergerhard.de/wikiling/?f=got&page=80
1587,fulliþs*,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=80
1588,*fullja?,got,M.,"Fülle, Maß, Fass","fullness, measure (N.), barrel",https://koeblergerhard.de/wikiling/?f=got&page=80
1589,fulljan* 3,got,V.,"füllen, anfüllen","fill (V.), fulfill, overfill (V.)",https://koeblergerhard.de/wikiling/?f=got&page=80
1590,fullnan* 5,got,V.,"voll werden, erfüllt werden","be full, become full, be filled, become filled",https://koeblergerhard.de/wikiling/?f=got&page=80
1591,fullō 10,got,F.,"Fülle, Füllung, Flicken (M.), Ausfüllung","fullness, a fulfilling, fulfillment, filling, completeness, entireness",https://koeblergerhard.de/wikiling/?f=got&page=80
1592,fulls 13,got,Adj.,"voll, vollkommen","full, filled, complete (Adj.), completed",https://koeblergerhard.de/wikiling/?f=got&page=80
1593,fūls 1,got,Adj.,"faul, stinkend","fetid, foul (Adj.), decomposed, putrid",https://koeblergerhard.de/wikiling/?f=got&page=80
1594,*fulþ?,got,F.,Feld,field,https://koeblergerhard.de/wikiling/?f=got&page=80
1595,funisks* 1,got,Adj.,feurig,"fiery, flaming",https://koeblergerhard.de/wikiling/?f=got&page=80
1596,*funs?,got,Adj.,"bereit, eilig, tapfer","ready, hasty, hurried, brave",https://koeblergerhard.de/wikiling/?f=got&page=80
1597,furdeithien,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=80
1598,"furdetīn*, furdeiþien",got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=80
1599,fwnīkiska,got,"Adj., F.",,,https://koeblergerhard.de/wikiling/?f=got&page=80
1600,fwnīkisks* 1,got,Adj.,phönikisch,Phoenician,https://koeblergerhard.de/wikiling/?f=got&page=80
1601,fy 1,got,Abkürzung,590,590,https://koeblergerhard.de/wikiling/?f=got&page=81
1602,fyder,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=81
1603,"fynf*, fyuf",got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=81
1604,fyuf,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=81
1605,g 2,got,Buchstabe,"g, Abkürzung für 3","g, abbreviation for 3",https://koeblergerhard.de/wikiling/?f=got&page=81
1606,*ga-,got,"Partikel, V.","ge..., mit...","together (Präf.), along with (Präf.)",https://koeblergerhard.de/wikiling/?f=got&page=81
1607,gaaggwei 2,got,F.,Einschränkung,"constraint (N.), compulsion, coercion",https://koeblergerhard.de/wikiling/?f=got&page=81
1608,*gaaggweins,got,F.,"Beengung, Einschränkung","constraining (N.), compelling (N.), coercing (N.)",https://koeblergerhard.de/wikiling/?f=got&page=81
1609,gaaggwjan* 1,got,V.,bedrängen,"oppress, constrain (V.), cramp completely",https://koeblergerhard.de/wikiling/?f=got&page=81
1610,gaaiginōn* 2=1,got,V.,"in Besitz nehmen, übervorteilen, in Beschlag nehmen","appropriate (V.), make one’s own",https://koeblergerhard.de/wikiling/?f=got&page=81
1611,gaainan* 1,got,V.,"vereinzeln, trennen","isolate, make solitary",https://koeblergerhard.de/wikiling/?f=got&page=81
1612,gaaistan* 1,got,V.,"sich scheuen vor, achten","reverence (V.), have regard for, have respect for",https://koeblergerhard.de/wikiling/?f=got&page=81
1613,gaaiwiskōn* 11=10,got,V.,"beschämen, beschimpfen","disgrace (V.), dishonour (V.), abuse (V.), make ashamed, put to shame",https://koeblergerhard.de/wikiling/?f=got&page=81
1614,gaandjan* 1,got,V.,"enden, endigen, aufhören","stop (V.), cease, conclude",https://koeblergerhard.de/wikiling/?f=got&page=81
1615,gaar 1,got,N.,"Jahr, j-Rune?","year, name of j-rune",https://koeblergerhard.de/wikiling/?f=got&page=81
1616,gaarbja* 1,got,M.,Miterbe,"co-heir, co-parcener, fellow heir",https://koeblergerhard.de/wikiling/?f=got&page=81
1617,gaarman* 10,got,V.,"sich erbarmen, bemitleiden","have mercy on, have pity on, show compassion towards",https://koeblergerhard.de/wikiling/?f=got&page=81
1618,gaaukan* 1,got,V.,"sich vermehren, zunehmen","increase (V.), wax (V.), abound",https://koeblergerhard.de/wikiling/?f=got&page=81
1619,gabaidjan* 1,got,V.,"zwingen, gebieten, nötigen","compel, force (V.)",https://koeblergerhard.de/wikiling/?f=got&page=81
1620,gabaíran 27,got,V.,"„zusammentragen“, vergleichen, gebären","„bring together“, compare, put side by side with, give birth to",https://koeblergerhard.de/wikiling/?f=got&page=81
1621,gabaírgan* 1,got,V.,"bergen, bewahren, erhalten (V.)","preserve together, keep intact together",https://koeblergerhard.de/wikiling/?f=got&page=82
1622,gabaírhteins* 1,got,F.,Erscheinung,"illumination, manifestation, epiphany",https://koeblergerhard.de/wikiling/?f=got&page=82
1623,gabaírhtjan 14=13,got,V.,"offenbaren, Gestalt gewinnen, erscheinen","bring to light, show clearly, make appear, disclose",https://koeblergerhard.de/wikiling/?f=got&page=82
1624,gabandwjan* 2,got,V.,"durch Winke andeuten, ein Zeichen geben, andeuten","make signs, signify, indicate",https://koeblergerhard.de/wikiling/?f=got&page=82
1625,gabatnan* 1,got,V.,"Vorteil erlangen, Nutzen erlangen","derive benefit, benefit (V.), be benefited, become benefited, become better off,>>>",https://koeblergerhard.de/wikiling/?f=got&page=82
1626,gabáuan 2,got,V.,"Wohnung aufschlagen, wohnen","take up residence, lodge (V.), reside, make a home",https://koeblergerhard.de/wikiling/?f=got&page=82
1627,gabaúr (1) 4,got,N.,"„Zusammengebrachtes“, Kollekte, Steuer (F.)","that borne in tribute, tribute (N.), contribution, tax (N.), money-offering",https://koeblergerhard.de/wikiling/?f=got&page=82
1628,gabaúr* (2) 2,got,M.,"Festgelage, Schmaus","carousing (N.), revelry, festive banquet, merrymaking",https://koeblergerhard.de/wikiling/?f=got&page=82
1629,gabaúrgja* 2=1,got,M.,"Mitbürger, Mitbewohner","co-citizen, fellow townsman",https://koeblergerhard.de/wikiling/?f=got&page=82
1630,gabaúrjaba 7,got,Adv.,gern,"pleasurably, gladly, with pleasure",https://koeblergerhard.de/wikiling/?f=got&page=82
1631,*gabaúrjō,got,Adv.,erfreulich,"pleasurably, enjoyably",https://koeblergerhard.de/wikiling/?f=got&page=82
1632,*gabaúrjōn,got,V.,sich freuen,"be glad, be pleased",https://koeblergerhard.de/wikiling/?f=got&page=82
1633,gabaúrjōþus* 1,got,M.,"Lust, Vergnügen","pleasure, enjoyment",https://koeblergerhard.de/wikiling/?f=got&page=82
1634,gabaúrþiwaurd* 1,got,N.,Geschlechtsregister,"record of ancestry, catalogue of ancestry, history of descent, genealogy",https://koeblergerhard.de/wikiling/?f=got&page=82
1635,gabaúrþs* 12,got,F.,"Geburt, Abstammung, Geschlecht, Geburtsland","birth, ethnic origin, birthplace, descent, race (1), native country",https://koeblergerhard.de/wikiling/?f=got&page=82
1636,gabei 14,got,F.,Reichtum,"riches, opulence",https://koeblergerhard.de/wikiling/?f=got&page=82
1637,gabeidan* 1,got,V.,"ausharren, ertragen","endure, abide, hold out under",https://koeblergerhard.de/wikiling/?f=got&page=82
1638,gabeigs,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=82
1639,gabeistjan* 1,got,V.,durchsäuern,leaven (V.),https://koeblergerhard.de/wikiling/?f=got&page=82
1640,gabidjan* 1,got,V.,"bitten, beten","say a prayer, request (V.), pray",https://koeblergerhard.de/wikiling/?f=got&page=82
1641,gabigaba 1,got,Adv.,reichlich,"richly, abundantly",https://koeblergerhard.de/wikiling/?f=got&page=83
1642,gabigjan* 1,got,V.,"reich machen, bereichern","enrich, make rich",https://koeblergerhard.de/wikiling/?f=got&page=83
1643,gabignan* 2,got,V.,reich sein (V.),"be rich, become rich, be opulent, become opulent",https://koeblergerhard.de/wikiling/?f=got&page=83
1644,"gabigs 19, gabeigs",got,Adj.,reich,"rich (Adj.), opulent, wealthy",https://koeblergerhard.de/wikiling/?f=got&page=83
1645,gabinda* 1,got,F.,"Band (N.), Binde","band (N.), ligament (N.), ligature, bond (N.)",https://koeblergerhard.de/wikiling/?f=got&page=83
1646,gabindan 18,got,V.,binden,"bind (V.), bind fast",https://koeblergerhard.de/wikiling/?f=got&page=83
1647,gabindi 1,got,F.,Band (N.),"bond (N.), ligation",https://koeblergerhard.de/wikiling/?f=got&page=83
1648,gabiugan* 1,got,V.,beugen,"bend (V.), curve (V.)",https://koeblergerhard.de/wikiling/?f=got&page=83
1649,gablauþjan* 1,got,V.,"abschaffen, triumphieren","make powerless, bring to naught, defeat (V.), triumph (V.)",https://koeblergerhard.de/wikiling/?f=got&page=83
1650,gableiþeins* 1,got,F.,Erbarmen,"mercifulness, compassionateness, pity (N.)",https://koeblergerhard.de/wikiling/?f=got&page=83
1651,gableiþjan* 2,got,V.,"sich erbarmen, barmherzig sein (V.)","show kindheartedness toward, have mercy on, take pity",https://koeblergerhard.de/wikiling/?f=got&page=83
1652,gablindjan* 2,got,V.,"verblenden, blenden","make blind, deprive of sight",https://koeblergerhard.de/wikiling/?f=got&page=83
1653,gabōtjan* 1,got,V.,"verbessern, herstellen","make good, improve, make better, repair (V.), restore",https://koeblergerhard.de/wikiling/?f=got&page=83
1654,gabrannjan* 3,got,V.,verbrennen,"burn (V.), consume by fire",https://koeblergerhard.de/wikiling/?f=got&page=83
1655,gabrikan* 8,got,V.,zerbrechen,"break (V.), fracture (V.), smash (V.), crush (V.)",https://koeblergerhard.de/wikiling/?f=got&page=83
1656,gabruka* 6,got,F.,Brocken,"broken piece, crumb (N.), fragment",https://koeblergerhard.de/wikiling/?f=got&page=83
1657,gabundi* 1,got,F.,Band (N.),"bond (N.), tie (N.)",https://koeblergerhard.de/wikiling/?f=got&page=83
1658,gadaban 2,got,V.,"sich ereignen, eintreffen, passen","happen, be suitable, appertain to, pertain properly to, be appertinent to, be ap>>>",https://koeblergerhard.de/wikiling/?f=got&page=83
1659,gadaila 7,got,M.,"Teilnehmer, Genosse","partner, co-participant",https://koeblergerhard.de/wikiling/?f=got&page=83
1660,gadailjan* 8,got,V.,"zuteilen, zerteilen, teilen","divide, partition (V.), allot, apportion, distribute to",https://koeblergerhard.de/wikiling/?f=got&page=83
1661,gadaubjan* 2,got,V.,"verstocken, verstockt machen","make insensitive, be numb, deaden, harden (V.)",https://koeblergerhard.de/wikiling/?f=got&page=84
1662,gadauka* 1,got,M.,Hausgenosse,"house-mate, household companion",https://koeblergerhard.de/wikiling/?f=got&page=84
1663,gadaúrsan 8,got,V.,"sich erkühnen, wagen, freimütig sein (V.)","venture (V.), dare, be brave enough, be bold, be courageous",https://koeblergerhard.de/wikiling/?f=got&page=84
1664,gadauþjan* 1,got,V.,"Tod bringen, töten","put to death, kill (V.)",https://koeblergerhard.de/wikiling/?f=got&page=84
1665,gadauþnan 27,got,V.,sterben,"perish, die (V.)",https://koeblergerhard.de/wikiling/?f=got&page=84
1666,gadeigan*,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=84
1667,gadeltha 1,got,Adj.,schön,beautiful,https://koeblergerhard.de/wikiling/?f=got&page=84
1668,gadēþs* 1,got,F.,Tat,"deed (N.), making (N.), rendering (N.)",https://koeblergerhard.de/wikiling/?f=got&page=84
1669,"gadigan* 2=1, gadeigan*",got,V.,"kneten, bilden, aus Ton bilden","knead, form (V.), mould (V.), form from clay",https://koeblergerhard.de/wikiling/?f=got&page=84
1670,gadigis 1,got,N.,Gebilde,"moulded image, that which is moulded, moulded figure",https://koeblergerhard.de/wikiling/?f=got&page=84
1671,gadilata*,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=84
1672,gadiliggs 1,got,M.,Vetter,cousin (M.),https://koeblergerhard.de/wikiling/?f=got&page=84
1673,gadiupjan* 1,got,V.,vertiefen,"make deep, go deep, dig deep, achieve depth",https://koeblergerhard.de/wikiling/?f=got&page=84
1674,gadōfs* 6,got,Adj.,"schicklich, passend","appertinent, appropriate, suitable, fitting",https://koeblergerhard.de/wikiling/?f=got&page=84
1675,gadōmjan 6,got,V.,"urteilen, entscheiden, sich vergleichen, sich messen mit","deem, judge (V.), adjudge, reckon",https://koeblergerhard.de/wikiling/?f=got&page=84
1676,gadraban 1,got,V.,aushauen,"chip (V.), hew out, chisel (V.), chop (V.)",https://koeblergerhard.de/wikiling/?f=got&page=84
1677,gadragan* 1,got,V.,zusammentragen,"draw together, amass (V.)",https://koeblergerhard.de/wikiling/?f=got&page=84
1678,gadragkjan* 2,got,V.,tränken mit,"give to drink, make drink",https://koeblergerhard.de/wikiling/?f=got&page=84
1679,gadraúhts 5,got,M.,Soldat,"soldier, warrior, serviceman",https://koeblergerhard.de/wikiling/?f=got&page=84
1680,gadrausjan* 3,got,V.,"hinabstürzen, niederwerfen, herabwerfen","cast down, overthrow (V.), fell (V.), bring down, plunge down",https://koeblergerhard.de/wikiling/?f=got&page=84
1681,gadrigkan* 1,got,V.,trinken,"drink (V.), get the chance to drink",https://koeblergerhard.de/wikiling/?f=got&page=85
1682,*gadriugs,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=85
1683,gadriusan 24,got,V.,"hinfallen, aufhören, fallen","fall (V.), fall down, plunge (V.)",https://koeblergerhard.de/wikiling/?f=got&page=85
1684,gadrōbnan* 2,got,V.,in Bestürzung geraten,"be agitated, become agitated, be unsettled, become unsettled, be disturbed, beco>>>",https://koeblergerhard.de/wikiling/?f=got&page=85
1685,gafāh* 1,got,N.,Fang,"catching (N.), catch (N.)",https://koeblergerhard.de/wikiling/?f=got&page=85
1686,gafāhan 16,got,V.,"ergreifen, erfassen, ertappen, fangen","catch (V.), take (V.), overtake (V.), capture (V.), apprehend, arrest (V.), take>>>",https://koeblergerhard.de/wikiling/?f=got&page=85
1687,gafahrjan* 1,got,V.,zubereiten,"put in proper condition, make presentable, make suitable",https://koeblergerhard.de/wikiling/?f=got&page=85
1688,*gafaihan,got,V.,sich freuen,joy (V.),https://koeblergerhard.de/wikiling/?f=got&page=85
1689,gafaihōn* 1,got,V.,"übervorteilen, beanspruchen, in Besitz nehmen, täuschen","make into a possession, acquire as property, take advantage of, defraud",https://koeblergerhard.de/wikiling/?f=got&page=85
1690,gafairinōn,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=85
1691,*gafairinōnds?,got,"V., Adj.","tadelig, bescholten","culpable, assailable, reprehensible",https://koeblergerhard.de/wikiling/?f=got&page=85
1692,*gafairinōþs,got,"V., Adj.","tadelig, schuldig","impeached, assailed",https://koeblergerhard.de/wikiling/?f=got&page=85
1693,gafastan 11,got,V.,"behalten, bewahren, halten","hold fast, keep (V.), retain, observe, guard (V.), protect",https://koeblergerhard.de/wikiling/?f=got&page=85
1694,gafaúrds 2,got,F.,"Versammlung, hoher Rat","supreme assembly, high council, Sanhedrin",https://koeblergerhard.de/wikiling/?f=got&page=85
1695,gafaurs 2,got,Adj.,"ehrbar, nüchtern, besonnen (Adj.), bescheiden (Adj.), gesittet","temperate (Adj.), restrained, descreet, wellbehaved, sober (Adj.), sober-tongued",https://koeblergerhard.de/wikiling/?f=got&page=85
1696,gafēhaba 1,got,Adv.,"anständig, ehrbar","with pleasant appearance, decorously, becomingly",https://koeblergerhard.de/wikiling/?f=got&page=85
1697,*gafēhs,got,Adj.,"anständig, passend, schicklich","decent, respectable, appertinent, appropriate",https://koeblergerhard.de/wikiling/?f=got&page=85
1698,gafēteins* 1,got,F.,Kleidung,"adornment, garniture, fine apparel, clothing",https://koeblergerhard.de/wikiling/?f=got&page=85
1699,*gafētjan,got,V.,kleiden,"dress up, adorn (V.)",https://koeblergerhard.de/wikiling/?f=got&page=85
1700,gafilh* 1,got,N.,Begräbnis,"burial, interment",https://koeblergerhard.de/wikiling/?f=got&page=85
1701,gafilhan 5,got,V.,"begraben (V.), verbergen","hide (V.), conceal, bury, inter (V.)",https://koeblergerhard.de/wikiling/?f=got&page=86
1702,gafraíhnan* 2,got,V.,"erfragen, fragen, erfahren (V.)","inquire after, ask, find out by inquiry, learn by inquiry",https://koeblergerhard.de/wikiling/?f=got&page=86
1703,gafraþjei* 1,got,F.,"Klugheit, Besonnenheit, Verständigkeit","rationality, reasonableness, discretion, intelligence",https://koeblergerhard.de/wikiling/?f=got&page=86
1704,*gafraþjis,got,Adj.,"klug, vernünftig","rational, reasonable",https://koeblergerhard.de/wikiling/?f=got&page=86
1705,gafraujinōn* 1,got,V.,"unterjochen, herrschen","dominate, rule (V.), lord it over, subordinate (V.)",https://koeblergerhard.de/wikiling/?f=got&page=86
1706,gafreideins* 3=2,got,F.,"Erhaltung, Bewahrung, Schonung","safekeeping (N.), custody (N.), possession, careful treatment",https://koeblergerhard.de/wikiling/?f=got&page=86
1707,*gafreidjan?,got,V.,"erhalten (V.), schonen","keep safe, treat watchfully, hold in custody, preserve (V.)",https://koeblergerhard.de/wikiling/?f=got&page=86
1708,gafrijōns* 1,got,F.,Kuss,"sign of love, kiss (N.)",https://koeblergerhard.de/wikiling/?f=got&page=86
1709,gafrisahtjan* 1,got,V.,abbilden,"depict with a visual image, form (V.), pattern (V.)",https://koeblergerhard.de/wikiling/?f=got&page=86
1710,gafrisahtnan* 1,got,V.,"abgebildet werden, Gestalt annehmen, dargestellt werden","be depicted in a visual image, become depicted in a visual image, be configured,>>>",https://koeblergerhard.de/wikiling/?f=got&page=86
1711,gafriþōn 5,got,V.,versöhnen,"establish peace between, establish peace among, reconcile",https://koeblergerhard.de/wikiling/?f=got&page=86
1712,gafriþōns* 2,got,F.,Versöhnung,"establishment of peace, reconciliation, counciliatory pacification",https://koeblergerhard.de/wikiling/?f=got&page=86
1713,gafulgins* 5,got,"V., Adj.",verborgen,"concealed (Adj.), hidden (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=86
1714,gafullaweisjan* 1,got,V.,"beglaubigen?, vollenden?","instruct thoroughly, indoctrinate fully, teach fully, make fully informed",https://koeblergerhard.de/wikiling/?f=got&page=86
1715,gafulljan* 5,got,V.,"erfüllen, füllen, anfüllen","fill (V.), make full",https://koeblergerhard.de/wikiling/?f=got&page=86
1716,gafullnan* 4,got,V.,erfüllt werden,"be full, become full, be filled up, become filled up",https://koeblergerhard.de/wikiling/?f=got&page=86
1717,gagaggan* 7,got,V.,"zusammenkommen, sich versammeln, kommen, sich begeben, eintreten, ausschlagen","come together, gather, assemble, congregate, come about, come to pass, come to b>>>",https://koeblergerhard.de/wikiling/?f=got&page=86
1718,gagahaftjan* 1,got,V.,"zusammenheften, verbinden","fasten together, join together",https://koeblergerhard.de/wikiling/?f=got&page=86
1719,"gagaleikōn* 3, sik",got,V.,"sich verwandeln, eine Gestalt annehmen","assume a likeness, take on an appearance, appear similar, change o.s.",https://koeblergerhard.de/wikiling/?f=got&page=86
1720,gagamainjan* 1,got,V.,"verunreinigen, entheiligen","make common, demean, debase, defile",https://koeblergerhard.de/wikiling/?f=got&page=86
1721,gagatilōn* 2,got,V.,zusammenfügen,"fit together, assemble",https://koeblergerhard.de/wikiling/?f=got&page=87
