#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung
1077,disdriusan* 1,got,V.,befallen (V.),"fall upon, descend upon, bear down on, beset, attack (V.)"
1078,dishaban* 4,got,V.,"ergreifen, behalten, festhalten","seize utterly, gain complete possession of, take completely, hold (V.)"
1079,dishniupan* 1,got,V.,zerreißen,"rend asunder, break apart, tear (V.)"
1080,dishnupnan* 1,got,V.,"zerreißen, zerrissen werden","be rent asunder, become rent asunder, break apart, tear (V.), burst (V.)"
1081,dishuljan* 1,got,V.,"verhüllen, bedecken","set apart by covering, segregate by covering up, seclude under cover, cover (V.)"
1082,"*disks, *diskus",got,M.,Tisch,table
1083,*diskus,got,M.,,
1084,disniman* 1,got,V.,besitzen,"have in acquisition, possess (V.), keep (V.)"
1085,dissiggqan* 2,got,V.,,
1086,"dissigqan*, dissiggqan*",got,V.,"untersinken, untergehen, sinken","sink out of sight, sink away, sink down, go down to cessation, disappear by subm>>>"
1087,dissitan* 3,got,V.,"ergreifen, überfallen (V.)","beseige, beset, take possession of by attack, seize"
1088,disskaidan* 1,got,V.,zerteilen,"cause division in, sunder (V.), split up, divide up"
1089,disskreitan* 1,got,V.,zerreißen,"tear asunder, rip apart, rive, split apart"
1090,disskritnan* 3,got,V.,zerreißen,"be torn asunder, become torn asunder, be riven, become riven, be split apart, be>>>"
1091,distaheins* 1,got,F.,Zerstreuung,"dispersion, scattering, diaspora"
1092,distahjan* 5,got,V.,"zerstreuen, vergeuden, verschwenden","shred, tear to pieces, scatter, disperse"
1093,distaíran* 3,got,V.,"zerreißen, auseinanderzerren, verderben","tear asunder, rend in pieces"
1094,distaúrnan* 1,got,V.,zerreißen,"be torn asunder, become torn asunder, tear apart, be rent in pieces"
1095,*diswidan,got,V.,auflösen,resolve
1096,diswilwan* 1,got,V.,"ausplündern, berauben, plündern","plunder utterly, pillage"
1097,diswinþjan* 1,got,V.,"„auseinanderwerfen“, zermalmen, worfeln, zerstreuen","crush (V.), scatter completely away by winnowing, dissipate to the winds"
1098,diswiss* 1,got,F.,"Auflösung, Abmarsch, Scheiden","disjunction, disconnection, separation, dissolution"
1099,diupei 21,got,F.,Tiefe,"depth, deepness"
1100,diupiþa 4,got,F.,"Tiefe, Meerestiefe","ocean depths, depth, profundity"
1101,*diupjan?,got,V.,vertiefen,deepen
1102,diups* 2,got,Adj.,tief,deep (Adj.)
1103,dius* 2,got,N.,"wildes Tier, Tier","wild beast, beast, wild animal, animal"
1104,diwan* 3,got,V.,sterben,"lose (V.) all energy, become lifeless"
1105,*diwanei?,got,F.,Sterblichkeit,mortality
1106,diwans*,got,Adj.,,
1107,*dōbnan?,got,V.,verstummen?,"be mute?, become mute?, be silent?, become silent?, hold one’s peace?"
1108,*dōfs?,got,Adj.,"schicklich, passend","appertinent, appropriate"
1109,"*-dōgs?, *dōgs?",got,Adj.,#NAME?,diurnal
1110,*dōjan?,got,V.,,
1111,*dōmeins?,got,F.,Urteil,judgement
1112,dōmjan 10,got,V.,"urteilen, beurteilen, unterscheiden, rechtfertigen, rechnen, meinen","judge (V.), justify, discern (V.), distinguish, evaluate, distinguish as, deem (>>>"
1113,dōms* 2,got,M.,"„Urteil“, Ruhm","discernment, insight, distinction, esteem, prestige, notability"
1114,dōrbiza 1,got,Wort,,
1115,*draban?,got,V.,hauen,chop (V.)
1116,dragan* 1,got,V.,"tragen, aufladen, ziehen","draw (V.), accumulate, take on, attract"
1117,draggk?,got,N.,,
1118,"dragk 4, draggk",got,N.,Trank,"drink (N.), drinking (N.)"
1119,dragkjan* 5,got,V.,"tränken, tränken mit","give to drink, make drink"
1120,draibjan* 4,got,V.,"treiben, plagen, antreiben","drive (V.), compel to go, propel, disturb, make go out of one’s way, bother (V.)>>>"
1121,drakma* 3,got,M.,Drachme,"drachma, the basic monetary unit of ancient Greece"
1122,"draúhsna* 4, drausna*",got,F.,"Brocken, Brosamen, Bissen","fragments, crumbs, food food particles"
1123,draúhtinassus* 1,got,M.,"Feldzug, Kriegsdienst","campaign (N.), service under a war-lord, military service, soldiering"
1124,draúhtinōn* 4,got,V.,"Kriegsdienste tun, zu Felde ziehen, sammeln, dienen","campaign (V.), serve under a war-lord, army be subject to an army leader, army b>>>"
1125,*draúhtins?,got,M.,"Führer, Herrscher","general of an army, war-lord"
1126,draúhtiwitōþ* 1,got,N.,"Feldzug, Kriegsrecht, Kriegsdienst","campaign (N.), military discipline, military service, warfare, war"
1127,*draúhts (1),got,M.,,
1128,*draúhts (2),got,F.,"Heer, Schar (F.) (1), Gefolge, Volk?","army, legion, host"
1129,*drausjan?,got,V.,stürzen,fall (V.)
1130,draúsna*,got,F.,,
1131,dreiban* 1,got,V.,treiben,"drive (V.), compel to go"
1132,drigkan 43,got,V.,trinken,"drink (V.), imbibe"
1133,drincan?,got,V.,,
1134,driugan* 1,got,V.,"zu Felde ziehen, kämpfen, Kriegsdienste tun","lead a military life in, do military service in, function as a soldier in, wage >>>"
1135,driusan* 20,got,V.,"fallen, herabfallen","fall (V.), fall down"
1136,driusō* 3,got,F.,Abhang,"cliff, steep slope, steep bank"
1137,*drōbi,got,Adj.,,
1138,*drōbja,got,Adj.,,
1139,drōbjan* 4,got,V.,"trüben, irre machen, aufwiegeln, bewegen, erschüttern, aufregen","stir up, excite, agitate, disturb, unsettle, trouble (V.)"
1140,*drōbjis?,got,Adj.,trüb,"turbid, muddy"
1141,drōbna* 1,got,M.,"Aufruhr, Aufstand","disturbance, disorder (N.), trouble (N.)"
1142,drōbnan 1,got,V.,"unruhig werden, erschüttert werden, sich beunruhigen","be agitated, become agitated, be restless, become restless, be disturbed, become>>>"
1143,*drugk?,got,N.,,
1144,drugkanei* 2,got,F.,Trunkenheit,"intoxication, drunkenness"
1145,drugkans?,got,"V., Adj.",,
1146,*drugkja?,got,M.,Trinker,drinker
1147,*drugks?,got,M.,Trank,"drink (N.), something drunk, beverage"
1148,drunjus 1,got,M.,Schall,"sound of the voice, call (N.), cry (N.)"
1149,drus 2,got,M.,Fall,"falling (N.), fall (N.)"
1150,*drusts?,got,F.,,
1151,*drūþs?,got,Adj.,"traut, lieb","cosy, familiar, dear, lovely"
1152,du 961,got,"Adv., Präp.","zu, nach ... hin, für, in","to, unto, towards, in, at"
1153,duatgaggan* 12,got,V.,"hinzugehen, hinzukommen zu","go to, come up to, approach (V.)"
1154,duatrinnan* 1,got,V.,"hinzurennen, hinzulaufen","run up to, run up before"
1155,duatsniwan* 1,got,V.,hinzueilen,"hasten thither, reach with haste, arrive with haste, hurry to"
1156,*dūbō?,got,F.,Taube,"pigeon, dove"
1157,dugan* 2,got,V.,"taugen, nützen","be good, be of value, be beneficial, be suitable, be useful, be worthwile"
1158,dugawindan* (sik) 1,got,V.,"sich verwickeln, sich verstricken","involve, get involved in, enwrap"
1159,duginnan* 4746,got,V.,"beginnen, anfangen, versuchen, (werden)","begin (V.), attempt, undertake, shall being"
1160,*duhþē?,got,"Konj., Adv.",,
1161,duƕē 35,got,Adv.,"wozu, warum","why, what for, wherefore"
1162,dulg*,got,"M., N.",,
1163,dulgahaitja* 1,got,M.,"„Schuldheischer“, Gläubiger","„debt-caller“, creditor, debtor"
1164,"dulgs, *dulg* 1",got,"M., N.",Schuld,debt
1165,dulþjan* 1,got,V.,ein Fest feiern,"hold a feast, hold festivities, celebrate a festival"
1166,dulþs 17,got,"F., Sb.","Fest, Osterfest","festival, celebration, Easter"
1167,*dumbnan,got,V.,verstummen,"subside into silence, fall off into dumbness"
1168,dumbs 2,got,Adj.,stumm,"dumb, voiceless, mute"
1169,durinnan* 2,got,V.,"hinzulaufen, hinzurennen","run to meet, run forth, run up, approach (V.)"
1170,dustōdjan* 54,got,V.,"anfangen, anheben","start (V.), begin (V.), commence, make a beginning"
1171,"dūþē 50, duhþē, duþþē",got,"Konj., Adv.","deshalb, deswegen, weil, damit, dazu, darum dass","therefore, to this end, for this reason, for this purpose, wherefore, because, o>>>"
1172,"*-dūþs?, *dūþs?",got,"V., F.",,
1173,duþþē,got,"Konj., Adv.",,
1174,duwakan,got,V.,,
1175,dwalawaúrdei 1,got,F.,"Torenrede, törichtes Gerede","foolish talking, foolishness"
1176,*dwalawaúrds,got,Adj.,töricht redend,foolish talking
1177,*dwaligōn,got,V.,betrügen,deceive
1178,dwaliþa 4,got,F.,Torheit,"foolishness, folly"
1179,dwalmōn* 2,got,V.,rasen,"act like a madman, speak like a madman, rave"
1180,*dwalms,got,M.,"Verzückung, Betäubung","madness, derangement, insanity"
1181,dwals* 6,got,Adj.,töricht,"foolish, stupid, dull"
1182,*dwilan,got,V.,"säumen, betäuben","slow down, be tardy, be retarded, be mentally retarded, be dull"
1183,e 6,got,Buchstabe,"e, Abkürzung für 5","e, abbreviation for 5"
1184,ea 1,got,Wort,,
1185,*ebrus?,got,M.,,
1186,ei 551,got,"Partikel, Konj.","da, so, in dem Fall, bei dem Umstand, dass, damit, ob, und","in that case, under those circumstances, then, thereby, in such a manner, such t>>>"
1187,"*-eigs?, *eigs?",got,V.,#NAME?,
1188,eils,got,Interj.,,
1189,#NAME?,got,V.,,
1190,*eis 1,got,N.,"Eis, i-Rune","ice (N.), name of i-rune"
1191,eisarn* 2,got,N.,Eisen,iron (N.)
1192,eisarnabandi* 1,got,F.,"Eisenband, Kette (F.) (1), Fessel (F.) (1)","iron bond, iron shackle, chain (N.)"
1193,eisarneins* 2,got,Adj.,eisern,made of iron
1194,eiþan 6,got,Konj.,"daher, somit, nun","ergo, therefore, for which reason, then, wherefore"
1195,eiþau,got,Konj.,,
1196,*ela?,got,F.,Ahle,awl
1197,*ēmaitja?,got,F.,Ameise,ant
1198,enguz 1,got,M.,"Iggws (= Gott des fruchtbaren Jahres), Speer?, Mann?, n-Rune","a god, spear (N.)?, man (M.)?, name of n-rune"
1199,era 14,got,F.,"Ära, Zeitabschnitt","era, period of time"
1200,eriten,got,V.,,
1201,*erls?,got,M.,"Mann, edler Mann",man (M.)
1202,*ēt?,got,N.,Essen (N.),eating (N.)
1203,*ēta?,got,M.,Esser,eater
1204,*ētja?,got,M.,Esser,eater
1205,"*-ēts, *ēts",got,Adj.,essend,"voracious in eating, gluttonish"
1206,eyz 1,got,M.,"Pferd?, e-Rune","horse?, name of e-rune"
1207,ezec 1,got,Sb.,"leicht?, z-Rune?","light (Adj.)?, name of z-rune?"
1208,fadar* 1,got,M.,Vater,father
1209,*fadia?,got,F.,,
1210,fadrein 14,got,N.,"Abkunft, Geschlecht, Stamm, Eltern, Großeltern, Vorfahren","patrilineage, forefathers, descent, race (N.) (1), parents"
1211,fadreins* (1) 1,got,F.,Geschlecht,"patrilineage, family, race (N.) (1), clan, lineage"
1212,*fadreins (2),got,Adj.,väterlich,paternal
1213,*fadus,got,M.,,
1214,faginōn 4339,got,V.,sich freuen,"feel happy, be glad, rejoice (V.)"
1215,*fagins?,got,Adj.,froh,"happy, glad"
1216,fagrs* 1,got,Adj.,"passend, geeignet, geschickt","in proper condition, presentable, proper, fitting (Adj.), suitable, suited, qual>>>"
1217,*fāh,got,N.,Fang,"catching (N.), catch (N.)"
1218,fāhan 2,got,V.,"fangen, greifen","catch (V.), capture (V.), grasp (V.), take hold of, lay hands on, seize"
1219,fahēþs 33,got,F.,Freude,"joy (N.), gladness"
1220,*fahjan,got,V.,,
1221,*fahrjan?,got,V.,zubereiten,"put in proper condition, make presentable, make suitable"
1222,*fahs?,got,Adj.,"fröhlich, froh","happy, glad"
1223,fáian* 1,got,V.,tadeln,"blame (V.), find fault, criticize"
1224,*faih?,got,N.,,
1225,*faihan?,got,V.,sich freuen,joy (V.)
1226,*faihōn?,got,V.,,
1227,*faihōns?,got,F.,,
1228,*faihs?,got,Adj.,bunt,coloured
1229,"faíhu* 7, fe",got,N.,"„Vieh“, Vermögen, Geld, f-Rune","movable goods, chattels, property, possessions, wealth, riches, money, name of f>>>"
1230,faíhufrikei 3,got,F.,"Habsucht, Gewinnsucht, Geldgier","money-covetousness, cupidity, lust for material goods"
1231,faíhufriks 6,got,Adj.,"habsüchtig, geldgierig, gewinnsüchtig","money-covetous, avaricious, greedy for money, lustful for material goods"
1232,faíhugaírnei* 1,got,F.,"Habsucht, Habgier","money-craving (N.), covetousness, cupidity, avarice"
1233,faíhugaírns* 1,got,Adj.,"geldgierig, habsüchtig","money-craving (Adj.), desirous of money, avaricious, covetous"
1234,faíhugawaúrki 1,got,N.,"Erwerb, Geldgewinn, Gewinn","profitable undertaking, lucrative enterprise, gain of money"
1235,faíhugeigan* 1,got,V.,"begehren, habgierig sein (V.), geldgierig sein (V.)","gain riches, acquire wealth, desire (V.)"
1236,faíhugeirō 3,got,F.,"Habsucht, Habgier, Geldgier","money-greed, financial avidity, avarice"
1237,*faíhugeirs?,got,Adj.,"habgierig, habsüchtig","money-greedy, avaricious"
1238,faíhuskula* 1,got,M.,Schuldner,"ower of money, debtor"
1239,"faíhuþraihn* 4, faihuþraihns*",got,"N., M.","„Viehansammlung“, Geldansammlung, Reichtum","wealth-agglomeration, accumulation of riches, wealth, gathering of money"
1240,faíhuþraihns*,got,"N., M.",,
1241,*faír-,got,V.,"ver-, ent-, er-",for-
1242,faíraigan*,got,V.,,
1243,"faíraihan 1, fairaigan*?",got,V.,teilhaben an,"have a share in, partake of, participate in"
1244,faírgreipan* 4,got,V.,"ergreifen, greifen","take hold of, take (V.), seize"
1245,faírguni 22,got,N.,"Berg, Gebirge","mountain, mountain range"
1246,faírhaitan* 1,got,V.,"verheißen, Dank wissen","express (V.), voice an expression of, thank (V.)"
1247,*faírƕjan?,got,V.,,
1248,faírƕus 5756,got,M.,Welt,"world, terrestrial domain of life"
1249,faírina* (1) 8,got,F.,"Schuld, Vorwurf, Grund, Ursache, Anklagegrund, Beschuldigung","offence, culpable act, basis for accusation, cause for complaint, culpability, c>>>"
1250,*faírina (2),got,Adj.,"tadelig, unrecht","reprehensible, blamable, impeachable"
1251,*faírinōdaba?,got,Adv.,tadelig,blamable
1252,faírinōn* 3,got,V.,"tadeln, beschuldigen","impute a culpable act to, blame (V.), accuse, reproach (V.), incriminate, denoun>>>"
1253,faírinōnds*,got,V.,,
1254,*faírinōþs?,got,"V., Adj.","schuldig, tadelig, bescholten","violative, transgressive, culpable, reprehensible"
1255,*faírins?,got,Adj.,"tadelig, unrecht","violative, transgressive, culpable, reprehensible"
1256,faírjan 1,got,V.,"abreisen, weggehen, sich wegbewegen","depart (V.), distance (V.), move (V.) away"
1257,*faírlaistiþs?,got,"V., Adj.","aufspürbar, erforschlich",trackable
1258,faírneis* 15,got,Adj.,alt,"old, over-aged, antiquated, outworn, superannuated, of former times, but no long>>>"
1259,faírniþa* 1,got,F.,Alter (N.),"overagedness, antiquity"
1260,faírns* 2,got,Adj.,"vorjährig, alt","previous, foregoing, preceding (Adj.)"
1261,faírra 20,got,Adv.,"fern, fern von, weg von","afar, far off, remote, at a great distance"
1262,faírraþrō 9,got,Adv.,von fern,"from afar, from a great distance, from a long way off"
1263,faírrinnan* 3,got,V.,"sich erstrecken, reichen zu","attain, extend, arrive, reach (V.)"
1264,faírwaúrkjan* 1,got,V.,erwirken,"earn, secure, gain (V.), acquire"
1265,*faírweit?,got,N.,"Hinblick, Aufmerken, Neugier","view (N.), attentiveness, inquisitiveness"
1266,*faírweitan?,got,V.,angestrengt sehen,"stare at, view attentively, look engrossedly at, gaze inquisitively at"
1267,faírweitjan 6,got,V.,"hinblicken, gaffen, umherspähen, spähen","stare (V.), view attentively, look engrossedly, look about, gaze inquisitively"
1268,faírweitl 1,got,N.,Schauspiel,"spectacle, exhibition, theatrical sight"
1269,faírzna* 1,got,F.,Ferse,heel
1270,*falb-,got,Adj.,,
1271,*falda?,got,F.,Falte,fold (N.)
1272,*falka?,got,M.,Falke,"falcon, hawk"
1273,falþ 1,got,Adv.,#NAME?,#NAME?
1274,*falþaba?,got,Adv.,#NAME?,#NAME?
1275,falþan* 1,got,V.,"falten, zusammenrollen, zusammenlegen","fold (V.), fold up, roll together"
1276,"*-falþei?, *falþei?",got,F.,#NAME?,#NAME?
1277,"*-falþs?, *falþs?",got,Adj.,#NAME?,#NAME?
1278,*falwiska?,got,F.,"Flugasche, Funke","flying ashes, spark (N.)"
1279,*falws?,got,Adj.,"fahl, falb, gelblich, grau",pale
1280,fana* 3,got,M.,"Stück Zeug, Zeugstück, Lappen, Tuch, Schweißtuch","piece of cloth, napkin, rag (N.) (1), handkerchief"
1281,fani* 5,got,N.,"Schlamm, Kot","mud, clay, mire (N.)"
1282,*fanþja?,got,M.,Fußsoldat,foot soldier
1283,*fara?,got,F.,"Fahrerin, Fahrt","female driver, journey"
1284,faran* 1,got,V.,"wandern, ziehen, fahren, gehen","pass over, wander, travel (V.), traverse distance"
1285,Faraō* 3,got,M.,Pharao,Pharaoh
1286,Fareisaius 55,got,M.,Pharisäer (Sg.),pharisee
1287,farjan* 2,got,V.,"fahren, schiffen","seafare (V.), go by sea, travel by boat, sail (V.), cruise (V.)"
1288,*farþa?,got,F.,"Fahrt, Reise","voyage (N.), passage, travelling motion"
1289,*farþō?,got,F.,,
1290,*farþōn?,got,V.,,
1291,farwa* 1,got,"M., N.","Farbe, Aussehen, Gestalt","form (N.), appearance, visible exterior, external shape"
1292,faski*,got,N.,,
1293,"faskja* 1, faski*?",got,"M., N.",Binde,bandage (N.)
1294,*fasta,got,M.,Fasten,fast (N.)
1295,fastan 45,got,V.,"halten, festhalten, beobachten, bewachen, fasten","hold fast, hold firm, guard (V.), keep in custody, uphold, keep (V.), observe, a>>>"
1296,*fasteis?,got,M.,Kundiger,expert (M.)
1297,*fastnēms?,got,Adj.,sparsam,thrifty
1298,*fasts,got,Adj.,fest,"firm (Adj.), fast (Adj.)"
1299,fastubni* 6,got,N.,"Halten, Dienst, Fasten, Haltung, Gottesdienst","holding fast to, holding (N.), keeping (N.), observance, abstinence, fasting (N.>>>"
1300,*fata,got,F.,"Umfassung, Kleiderbündel, Fetzen","fat (N.) (2), scrap (N.), rag (N.)"
1301,faþa* 4,got,F.,"Zaun, Scheidewand","hedge (N.), fence (N.), out-of-doors wall, dividing wall"
1302,"*faþia, *fadia",got,F.,,
1303,*faþs?,got,M.,"Herr, Führer","lord, master (M.), leader"
1304,"*faþus?, *fadus",got,M.,,
1305,faúhō* 2,got,F.,"Füchsin, Fuchs (M.) (1)","vixen, she-fox"
1306,faúr 7978,got,"Präp., Adv., V.","vor (zeitl. und räuml.), längs, für, inbetreff, um willen, über","in front, ahead, before, along, beside, alongside, at the edge of, prior to, pre>>>"
1307,faúra 63,got,"Präp., Adv., V.","vor (räuml.), vor- (Verbalpräf.), für, vorn, längs, vorher","ahead, before, in front, previously, formerly, once, beforehand, heretofore, hit>>>"
1308,faúradaúri* 1,got,N.,"Straße, Gasse","street, ante-portal area, door-front area, fore-court, space before the door, ar>>>"
1309,faúrafilli 76,got,N.,Vorhaut,"foreskin, prepuce"
1310,faúragagga* 1,got,M.,"„Vorgänger“, Hausverwalter, Verwalter, Vorsteher","„fore-goer“, house-steward, superintendent, manager"
1311,faúragaggan 65,got,V.,"vorangehen, vorstehen","go before, precede, go in front of, preside over, govern"
1312,faúragaggi 76,got,N.,"Verwaltung, Haushaltung, Vorsteheramt","stewardship, superintendency, management, administration"
1313,faúragaggja 7,got,M.,"Verwalter, Vorsteher","steward, superintendent, manager"
1314,faúragahaitan* 1,got,V.,zuvor verheißen,"promise beforehand, pre-announce as a pledge, foretell"
1315,faúragahugjan* 1,got,V.,"„vorherdenken“, sich vornehmen","make up one’s mind beforehand, take an attitude beforehand, set forth"
1316,faúragaleikan* 1,got,V.,vorher gefallen (V.),"be pleasing to beforehand, please beforehand, set forth"
1317,faúragamanwjan* 3,got,V.,"vorherbereiten, vorher zubereiten","prepare ahead of time, make ready beforehand, finish preparing beforehand"
1318,faúragamēljan* 2,got,V.,"vorherschreiben, verkünden","write before, write beforehand"
1319,*faúragaraidjan 1,got,V.,vorherbestimmen?,"enjoin in advance, mandate beforehand, decree beforehand"
1320,faúragarēdan* 32,got,V.,vorherbestimmen,"purpose in advance, intend beforehand, predetermine"
1321,faúragasandjan* 1,got,V.,"vorausentsenden, voraussenden",send on ahead
1322,faúragasatjan* 1,got,V.,"„vorsetzen“, vorstellen, darstellen","set before, present (V.), bring to"
1323,faúragateihan* 2,got,V.,"vorherverkünden, vorhersagen","announce beforehand, know beforehand, tell beforehand"
1324,faúrahāh 1,got,N.,Vorhang,"curtain, veil (N.)"
1325,*faúrahāhan?,got,V.,vorhängen,hang in front
1326,faúramanwjan* 1,got,V.,vorbereiten,"prepare ahead of time, make ready beforehand"
1327,faúramaþleis 10,got,M.,"Vorsteher, Gebieter, Sprecher","ruler, prince, chief, head man, governor, official (M.)"
1328,faúramaþli* 2,got,N.,"Oberbefehl, Vorsteheramt","high command, governorship"
1329,faúramēljan* 1,got,V.,"vorzeichnen, vormalen, vor Augen malen","depict in front of, delineate before, display publicly"
1330,faúraqiman* 1,got,V.,"vorgehen, vor jemand hergehen","precede s.o., come in advance, come before, go before"
1331,fauraqiþan* 98,got,V.,vorhersagen,"tell before, tell beforehand, foretell the future, prophesy"
1332,faúrarahnjan* 1,got,V.,übertreffen,"esteem as prior, reckon as foremost, deem preferable, outdo"
